rank,game_title,platform,year,genre,publisher,developer,north_america,europe,japan,rest_of_world,global,review,critic_score,user_score,url
1670,Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,Avalanche Software,0.72,0.22,0,0.02,0.96,77,,,http://www.vgchartz.com/game/5383/mortal-kombat-trilogy/?region=All
1671,NHL 2001,PS2,2000,Sports,Electronic Arts,EA Canada,0.47,0.37,0,0.12,0.96,81,,,http://www.vgchartz.com/game/27154/nhl-2001/?region=All
1672,Zoo Tycoon DS,DS,2005,Strategy,THQ,Blue Fang Games,0.86,0.02,0.01,0.07,0.96,63,4.6,,http://www.vgchartz.com/game/2802/zoo-tycoon-ds/?region=All
1673,Shinobi,PS2,2002,Platform,Sega,Overworks,0.36,0.28,0.22,0.09,0.96,71.74,,,http://www.vgchartz.com/game/2040/shinobi/?region=All
1674,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,Midway,0.77,0.15,0,0.04,0.96,81,8.2,,http://www.vgchartz.com/game/5386/mortal-kombat-deadly-alliance/?region=All
1675,ESPN NBA 2K5,XB,2004,Sports,Global Star,Visual Concepts,0.88,0.04,0,0.04,0.95,84.15,,,http://www.vgchartz.com/game/5053/espn-nba-2k5/?region=All
1676,WWE '13,X360,2012,Action,THQ,Unknown,0.53,0.33,0,0.1,0.95,75,,,http://www.vgchartz.com/game/70837/wwe-13/?region=All
1677,Wheel of Fortune,PS2,,Misc,Unknown,Artech Studios,0.47,0.36,0,0.12,0.95,55,,,http://www.vgchartz.com/game/5982/wheel-of-fortune/?region=All
1678,World Championship Poker,PS2,2004,Misc,Play It,Coresoft,0.8,0.03,0,0.13,0.95,60.22,,,http://www.vgchartz.com/game/5990/world-championship-poker/?region=All
1679,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Adventure,Ubisoft,Ubisoft Montreal,0.36,0.45,0,0.14,0.95,88.96,9.4,,http://www.vgchartz.com/game/2468/tom-clancys-splinter-cell-chaos-theory/?region=All
1680,Junior Brain Trainer,DS,2008,Misc,GSP,Sanuk Games,0.22,0.64,0,0.09,0.95,70,,,http://www.vgchartz.com/game/40415/junior-brain-trainer/?region=All
1681,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,Obsidian Entertainment,0.51,0.32,0,0.12,0.95,83.65,8.3,,http://www.vgchartz.com/game/33664/fallout-new-vegas/?region=All
1682,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,Heavy Iron Studios,0.74,0.19,0,0.03,0.95,76,5.8,,http://www.vgchartz.com/game/6434/spongebob-squarepants-battle-for-bikini-bottom/?region=All
1683,Littlest Pet Shop: Winter,DS,2008,Simulation,Electronic Arts,EA Salt Lake,0.57,0.29,0,0.09,0.95,78,,,http://www.vgchartz.com/game/25395/littlest-pet-shop-winter/?region=All
1684,Wild ARMs,PS,1996,Role-Playing,Sony Computer Entertainment,Media.Vision,0.26,0.17,0.46,0.06,0.95,78.89,8.9,,http://www.vgchartz.com/game/2668/wild-arms/?region=All
1685,Kessen,PS2,2000,Strategy,Electronic Arts,Koei,0.27,0.21,0.41,0.07,0.95,76.39,,,http://www.vgchartz.com/game/3583/kessen/?region=All
1686,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami Digital Entertainment,KCEJ,0.68,0.25,0,0.02,0.95,77,,,http://www.vgchartz.com/game/15364/yu-gi-oh-worldwide-edition-stairway-to-the-destined-duel/?region=All
1687,NCAA Football 2000,PS,1999,Sports,Electronic Arts,EA Sports,0.53,0.36,0,0.06,0.95,78,,,http://www.vgchartz.com/game/1554/ncaa-football-2000/?region=All
1688,Madden NFL 08,PS3,2007,Sports,Electronic Arts,EA Tiburon,0.87,0,0,0.07,0.95,77,,,http://www.vgchartz.com/game/7176/madden-nfl-08/?region=All
1689,Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,Role-Playing,Capcom,Capcom,0.38,0,0.53,0.03,0.94,61,,,http://www.vgchartz.com/game/7154/mega-man-star-force-dragon-leo-pegasus/?region=All
1690,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Action,Square Enix,Square Enix,0,0,0.94,0,0.94,75,,,http://www.vgchartz.com/game/70800/dragon-quest-monsters-terrys-wonderland-3d/?region=All
1691,Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,SCEE London Studio,0.3,0.42,0,0.22,0.94,65,5,,http://www.vgchartz.com/game/838/gangs-of-london/?region=All
1692,Killzone,PS2,2004,Shooter,Sony Computer Entertainment,Guerrilla Games,0.79,0.03,0,0.13,0.94,74,6.8,,http://www.vgchartz.com/game/1112/killzone/?region=All
1693,Colin McRae Rally 04,PS2,2003,Racing,Codemasters,Codemasters,0.01,0.71,0.01,0.21,0.94,85.33,,,http://www.vgchartz.com/game/6209/colin-mcrae-rally-04/?region=All
1694,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,Namco Bandai Games,0.64,0.02,0.22,0.06,0.94,81.59,8.1,,http://www.vgchartz.com/game/7681/ace-combat-6-fires-of-liberation/?region=All
1695,The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,Heavy Iron Studios,0.73,0.19,0,0.03,0.94,70.9,6.6,,http://www.vgchartz.com/game/6492/the-spongebob-squarepants-movie/?region=All
1696,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,Bandai Namco Games,0.36,0.28,0.12,0.18,0.94,76.1,7.6,,http://www.vgchartz.com/game/25/ace-combat-x-skies-of-deception/?region=All
1697,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,Misc,GT Interactive,Digital Eclipse,0.52,0.36,0,0.06,0.94,73,,,http://www.vgchartz.com/game/17193/midway-presents-arcades-greatest-hits-the-atari-collection-1/?region=All
1698,Castlevania: Lament of Innocence,PS2,2003,Action,Konami Digital Entertainment,Konami Computer Entertainment Tokyo,0.46,0.36,0,0.12,0.94,78.58,8.1,,http://www.vgchartz.com/game/325/castlevania-lament-of-innocence/?region=All
1699,Bulletstorm,X360,2011,Shooter,Electronic Arts,People Can Fly,0.56,0.28,0.01,0.09,0.94,84.55,8.5,,http://www.vgchartz.com/game/44609/bulletstorm/?region=All
1700,Destroy All Humans!,PS2,2005,Adventure,THQ,Pandemic Studios,0.78,0.03,0,0.13,0.94,75.96,,,http://www.vgchartz.com/game/5013/destroy-all-humans/?region=All
1701,MVP Baseball 2005,XB,2005,Sports,Electronic Arts,EA Canada,0.7,0.2,0,0.03,0.94,87.16,,,http://www.vgchartz.com/game/5402/mvp-baseball-2005/?region=All
