rank,game_title,platform,year,genre,publisher,developer,critic_score,user_score,north_america,europe,japan,rest_of_world,global
882,Need for Speed: The Run,PS3,2011,Racing,Electronic Arts,EA Black Box,6.3,,0.49,0.91,0.03,0.34,1.78
883,Madden NFL 07,X360,2006,Sports,Electronic Arts,EA Tiburon,8.5,,1.64,0,0.01,0.13,1.78
884,The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,Team Soho,,,0.39,1.01,0.02,0.36,1.78
885,Midnight Club II,PS2,2003,Racing,Take-Two Interactive,Rockstar San Diego,,,1.25,0.29,0,0.24,1.78
886,SpongeBob SquarePants: SuperSponge,PS,2001,Action,THQ,Climax Group,,,1.12,0.58,0,0.08,1.78
887,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,Ubisoft Paris,6.6,,0.8,0.79,0,0.19,1.78
888,Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios,Team Ninja,8.3,,1.19,0.29,0.24,0.06,1.77
889,Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo,HAL Laboratory,7.9,,0.63,0.06,1.03,0.04,1.77
890,Final Fantasy II,SNES,1991,Role-Playing,Square,Square,10,,0.24,0.09,1.33,0.12,1.77
891,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,Genuine,,,0.85,0.76,0,0.16,1.77
892,WWF Attitude,PS,1998,Fighting,Acclaim Entertainment,Acclaim Entertainment,,,1.27,0.42,0,0.07,1.76
893,Star Wars: Starfighter,PS2,2001,Simulation,Activision,LucasArts,,,0.61,0.87,0.02,0.26,1.76
894,Phineas and Ferb,DS,2009,Action,Disney Interactive Studios,Disney Interactive Studios,,,1.25,0.35,0,0.16,1.76
895,Def Jam: Fight for NY,PS2,2004,Action,Electronic Arts,AKI Corporation / EA Canada,,,0.86,0.67,0,0.22,1.76
896,Burnout Paradise,PS3,2008,Racing,Electronic Arts,Criterion Games,9,,0.95,0.52,0.02,0.26,1.76
897,The Urbz: Sims in the City,PS2,2004,Simulation,Electronic Arts,Maxis,,,0.52,0.95,0,0.29,1.76
898,Golden Sun,GBA,2001,Role-Playing,Nintendo,Camelot Software Planning,9.1,,0.93,0.38,0.4,0.06,1.76
